2018-06-20 16:13:06,b'Congrats @united on the best lounge I\xe2\x80\x99ve ever been to. #polaris #SanFrancisco #UnitedAirlines'
2018-06-20 16:12:28,b'RT @LP083061: @FedupWithSwamp Let\xe2\x80\x99s send a crew out to interview her ask for her comment on this too https://t.co/gbXwe3vx1M #DemocratsAreE\xe2\x80\xa6'
2018-06-20 16:10:05,b'@FedupWithSwamp Let\xe2\x80\x99s send a crew out to interview her ask for her comment on this too https://t.co/gbXwe3vx1M\xe2\x80\xa6 https://t.co/jklkmqhIvq'
2018-06-20 15:51:35,b'RT @JaspreetTravels: A #wingwednesday view approaching ORD a while back \xe2\x9c\x88\xef\xb8\x8f \xf0\x9f\x8c\x83 \n\n#beingunited #weareunited #avgeek\xe2\x80\xa6 https://t.co/MBOTbnYWxF'
2018-06-20 15:48:54,b'United - Turbulence  - Fantastic landing - Newark Airport EWR 2017 https://t.co/JXYfd6ZRUp via @YouTube\xe2\x80\xa6 https://t.co/5VqGq2JtC6'
2018-06-20 15:28:10,"b'Did you know that when you use a regional or global upgrade certificate on #UnitedAirlines,  it does not get redepo\xe2\x80\xa6 https://t.co/Cg5oAMicLS'"
2018-06-20 15:25:41,b'A #wingwednesday view approaching ORD a while back \xe2\x9c\x88\xef\xb8\x8f \xf0\x9f\x8c\x83 \n\n#beingunited #weareunited #avgeek #unitedairlines https://t.co/hDkT4Ccraf'
2018-06-20 15:25:22,"b'RT @GBTANCarolina: PLATINUM sponsor, United Airlines is giving away a pair of round-trip tickets on July 20th at NCBTA Education Day.  Are\xe2\x80\xa6'"
2018-06-20 15:20:12,"b'PLATINUM sponsor, United Airlines is giving away a pair of round-trip tickets on July 20th at NCBTA Education Day.\xe2\x80\xa6 https://t.co/bBHa9P734s'"
2018-06-20 15:00:22,b'RT @Kru_mit: Anaya\xe2\x80\x99s first flight! First boarding pass signed by pilots and small gift from United Airlines crew \xe2\x9c\x88\xef\xb8\x8f\xf0\x9f\x98\x8a Thanks @united #united\xe2\x80\xa6'
2018-06-20 14:59:44,b'@united why is that I had to gate check my bag when there is ample room in the overhead compartments?! Honestly a j\xe2\x80\xa6 https://t.co/MwNbYWTeYV'
2018-06-20 14:54:19,b'#UnitedAirlines Unitd Airlines flight attendant reportedly slams travel writr 4 tweetin abt bad service https://t.co/smLn15qX5V'
2018-06-20 14:36:49,b'#unitedAIRLINES are the WORST excuse of an airline.  Not a fan of any of them really.  But United takes the cake in\xe2\x80\xa6 https://t.co/mECvyqbeiu'
2018-06-20 14:26:44,b'Get the best selection of cheap flight tickets with us. Visit- https://t.co/L1TqW2lKSA or Call- 888-880-3966\xe2\x80\xa6 https://t.co/yPmDOae2tk'
2018-06-20 13:55:29,b'Anaya\xe2\x80\x99s first flight! First boarding pass signed by pilots and small gift from United Airlines crew \xe2\x9c\x88\xef\xb8\x8f\xf0\x9f\x98\x8a \nThanks @united #unitedairlines'
2018-06-20 11:46:55,"b'#unitedAIRLINES ""Fly the abusive skies"" @united #unitedSucks'"
2018-06-20 11:40:11,"b'@UnitedClubs closes the mediocre #unitedclub in #EWR by security &amp; sticks paying clients in the horrible ""pop up"" c\xe2\x80\xa6 https://t.co/kpzxcDjRzY'"
2018-06-20 11:25:06,b'#UnitedAirlines #PR #Disaster - #FashionUnited - Similarities and Differences \xc2\x85  KNOW MORE  - #Retweet https://t.co/3ajdr3XN9V'
2018-06-20 11:24:07,b'Anaya\xe2\x80\x99s first flight! First boarding pass signed by pilots and small gift from United Airlines crew \xe2\x9c\x88\xef\xb8\x8f\xf0\x9f\x98\x8a Thanks\xe2\x80\xa6 https://t.co/tiy6sVvW7L'
2018-06-20 11:21:44,b'Thanks #unitedAIRLINES for being the worst airline'
2018-06-20 10:54:02,"b'Non-weather related 2 hr delay due to AA operations and planing and AAs response is sorry, well try harder next tim\xe2\x80\xa6 https://t.co/iRdpybmFAe'"
2018-06-20 09:04:37,b'RT @STABusiness: A bit more leg room and a slightly better service? Hello Premium Plus \xe2\x9c\x88#UnitedAirlines https://t.co/nc3wpWVyqK \n#BusinessT\xe2\x80\xa6'
2018-06-20 08:55:20,b'RT @STABusiness: A bit more leg room and a slightly better service? Hello Premium Plus \xe2\x9c\x88#UnitedAirlines https://t.co/nc3wpWVyqK \n#BusinessT\xe2\x80\xa6'
2018-06-20 08:52:35,b'A bit more leg room and a slightly better service? Hello Premium Plus \xe2\x9c\x88#UnitedAirlines https://t.co/nc3wpWVyqK \n#BusinessTravel'
2018-06-20 07:31:39,b'My ten o clock flight got delayed to fucking 130 am #UnitedAirlines'
2018-06-20 06:26:22,"b""12 hour delay at O'Hare... finally on plane...but where are my bags?  Should have been plenty of time to get them o\xe2\x80\xa6 https://t.co/A9ERVjeZr7"""
2018-06-20 03:32:21,b'Mother Earth #nofilter #unitedairlines https://t.co/LrSiLsg3Qr'
2018-06-20 03:12:47,b'Extra legroom for the win! #unitedairlines\xe2\x80\xa6 https://t.co/xaMTnnYE5c'
2018-06-20 03:08:13,b'#UnitedAirlines fucking sucks!!!!never again will u get my $$$$$'
2018-06-20 02:36:24,b'#UnitedAirlines\n#GEG #SpokaneAirport\n\nmany thanks to the gate attendant who brought my coffee from Starbucks to me\xe2\x80\xa6 https://t.co/u0S2UQkJRO'
2018-06-20 01:32:22,b'@UnitedAirlines cancelled my flight and decided not to compensate me other than rebook so instead of flying to #TYS\xe2\x80\xa6 https://t.co/oQFTm7fRh7'
